v4_4,Measure Type,Unit Multiplier,Data Marking,CV,calendar-years,admin-geography,ashe-statistics,ashe-sex,ashe-working-pattern,ashe-hours-and-earnings,ashe-workplace-or-residence
486.9,GBP,1,,0.3,2016,K03000001,70,female,all,weekly-pay-excluding-overtime,workplace
,Count,1,x,x,2016,E06000003,90,female,all,paid-hours-worked-basic,workplace
22.5,Count,1,,0.5,2016,E92000001,70,female,part-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000001,60,female,full-time,paid-hours-worked-overtime,workplace
35.0,Count,1,,0.2,2016,K02000001,20,all,full-time,paid-hours-worked-basic,workplace
599.7,GBP,1,,0.3,2016,K03000001,mean,male,all,basic-pay-including-other-pay,workplace
1.0,Count,1,,2.0,2016,K04000001,20,all,part-time,paid-hours-worked-overtime,workplace
37.5,Count,1,,0.2,2016,E06000002,median,female,full-time,paid-hours-worked-basic,workplace
22.5,Count,1,,3.4,2016,E12000001,10,male,all,paid-hours-worked-basic,workplace
260.1,GBP,1,,7.9,2016,E06000005,20,all,all,basic-pay-including-other-pay,workplace
36.1,Count,1,,0.1,2016,K03000001,25,all,full-time,paid-hours-worked-basic,workplace
600.4,GBP,1,,0.4,2016,K03000001,80,female,all,weekly-pay-excluding-overtime,workplace
21.0,Count,1,,2.8,2016,E12000001,60,female,part-time,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000003,25,female,full-time,paid-hours-worked-overtime,workplace
32.6,Count,1,,1.9,2016,E06000004,10,all,full-time,paid-hours-worked-basic,workplace
367.9,GBP,1,,0.3,2016,K03000001,30,male,all,basic-pay-including-other-pay,workplace
,Count,1,x,x,2016,E06000004,80,all,part-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000002,70,female,full-time,paid-hours-worked-basic,workplace
36.9,Count,1,,0.1,2016,E12000001,30,male,all,paid-hours-worked-basic,workplace
206.3,GBP,1,,8.7,2016,E06000002,20,all,all,basic-pay-including-other-pay,workplace
34.5,Count,1,,0.8,2016,E12000001,10,all,full-time,paid-hours-worked-basic,workplace
215.3,GBP,1,,9.8,2016,E06000002,25,female,all,weekly-pay-excluding-overtime,workplace
24.0,Count,1,,11.0,2016,E06000005,75,female,part-time,paid-hours-worked-basic,workplace
37.0,Count,1,,0.0,2016,E12000001,median,all,all,paid-hours-worked-basic,workplace
,Count,1,x,x,2016,E06000002,60,female,part-time,paid-hours-worked-overtime,workplace
16.1,Count,1,,1.8,2016,E12000001,40,all,part-time,paid-hours-worked-basic,workplace
1074.0,GBP,1,,0.8,2016,K04000001,90,male,all,basic-pay-including-other-pay,workplace
4.1,Count,1,,2.2,2016,E92000001,median,male,full-time,paid-hours-worked-overtime,workplace
37.5,Count,1,,1.7,2016,E06000002,75,female,full-time,paid-hours-worked-basic,workplace
31.5,Count,1,,13.0,2016,E06000003,20,male,all,paid-hours-worked-basic,workplace
402.3,GBP,1,,0.3,2016,E92000001,60,female,all,basic-pay-including-other-pay,workplace
,Count,1,x,44.0,2016,E06000005,20,all,part-time,paid-hours-worked-basic,workplace
805.7,GBP,1,,0.3,2016,K03000001,80,all,full-time,weekly-pay-excluding-overtime,workplace
,Count,1,x,47.0,2016,E06000003,40,all,all,paid-hours-worked-overtime,workplace
38.0,Count,1,,0.1,2016,K04000001,60,male,all,paid-hours-worked-basic,workplace
736.8,GBP,1,,0.2,2016,K02000001,80,all,all,weekly-pay-gross,workplace
20.9,Count,1,,11.0,2016,E06000005,60,all,part-time,paid-hours-worked-basic,workplace
675.0,GBP,1,,0.3,2016,E92000001,70,male,all,basic-pay-including-other-pay,workplace
7.5,Count,1,,9.5,2016,E12000001,70,male,full-time,paid-hours-worked-overtime,workplace
19.5,Count,1,,9.8,2016,E06000001,median,female,part-time,paid-hours-worked-basic,workplace
39.0,Count,1,,1.6,2016,E06000003,60,male,all,paid-hours-worked-basic,workplace
220.4,GBP,1,,12.0,2016,E06000005,25,female,all,basic-pay-including-other-pay,workplace
710.2,GBP,1,,2.3,2016,E12000001,80,all,full-time,weekly-pay-excluding-overtime,workplace
39.0,Count,1,,0.0,2016,K02000001,60,male,full-time,paid-hours-worked-basic,workplace
0.8,Count,1,,5.0,2016,K04000001,10,male,full-time,paid-hours-worked-overtime,workplace
662.3,GBP,1,,0.3,2016,K03000001,mean,male,full-time,basic-pay-including-other-pay,workplace
535.3,GBP,1,,0.2,2016,K04000001,median,male,all,weekly-pay-gross,workplace
37.0,Count,1,,0.9,2016,E06000003,20,male,full-time,paid-hours-worked-basic,workplace
,Count,1,x,45.0,2016,E06000002,30,male,all,paid-hours-worked-overtime,workplace
28.9,GBP,1,,2.5,2016,K02000001,median,all,part-time,overtime-pay,workplace
,Count,1,x,x,2016,E06000001,80,female,full-time,paid-hours-worked-overtime,workplace
457.7,GBP,1,,9.8,2016,E06000002,median,female,full-time,weekly-pay-gross,workplace
,Count,1,x,x,2016,E06000005,90,female,all,paid-hours-worked-overtime,workplace
2.0,Count,1,,1.5,2016,K04000001,40,female,all,paid-hours-worked-overtime,workplace
0.9,Count,1,,13.0,2016,E12000001,20,female,part-time,paid-hours-worked-overtime,workplace
160.7,GBP,1,,x,2016,E06000003,median,male,part-time,basic-pay-including-other-pay,workplace
1.8,Count,1,,1.6,2016,K02000001,25,male,all,paid-hours-worked-overtime,workplace
114.5,GBP,1,,17.0,2016,E06000001,30,all,part-time,weekly-pay-gross,workplace
449.7,GBP,1,,6.5,2016,E06000003,mean,male,all,basic-pay-including-other-pay,workplace
2.8,Count,1,,1.4,2016,K03000001,40,all,full-time,paid-hours-worked-overtime,workplace
75.4,GBP,1,,4.0,2016,K04000001,80,all,part-time,overtime-pay,workplace
,Count,1,x,x,2016,E06000004,30,female,full-time,paid-hours-worked-overtime,workplace
421.5,GBP,1,,18.0,2016,E06000003,60,female,full-time,weekly-pay-gross,workplace
,Count,1,x,x,2016,E06000002,10,female,all,paid-hours-worked-overtime,workplace
0.8,Count,1,,3.7,2016,E92000001,10,male,all,paid-hours-worked-overtime,workplace
37.4,Count,1,,1.3,2016,E06000003,40,male,all,paid-hours-worked-basic,workplace
277.4,GBP,1,,0.3,2016,K04000001,25,all,all,weekly-pay-gross,workplace
23.2,Count,1,,11.0,2016,E06000005,75,all,part-time,paid-hours-worked-basic,workplace
317.0,GBP,1,,13.0,2016,E06000001,20,male,all,basic-pay-including-other-pay,workplace
1.5,Count,1,,6.0,2016,K02000001,20,male,part-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000001,80,male,all,paid-hours-worked-overtime,workplace
28.9,Count,1,,0.7,2016,E12000001,mean,female,all,paid-hours-worked-basic,workplace
269.9,GBP,1,,7.7,2016,E06000004,40,female,all,basic-pay-including-other-pay,workplace
682.6,GBP,1,,9.9,2016,E06000005,75,all,full-time,weekly-pay-excluding-overtime,workplace
40.0,Count,1,,0.0,2016,K02000001,80,male,full-time,paid-hours-worked-basic,workplace
10.6,Count,1,,4.8,2016,K02000001,90,female,all,paid-hours-worked-overtime,workplace
35.0,Count,1,,0.3,2016,K03000001,60,female,all,paid-hours-worked-basic,workplace
346.2,GBP,1,,1.1,2016,E12000001,40,all,all,weekly-pay-gross,workplace
14.7,Count,1,,8.4,2016,E06000004,30,all,part-time,paid-hours-worked-basic,workplace
460.2,GBP,1,,6.0,2016,E06000004,median,male,all,basic-pay-including-other-pay,workplace
16.8,Count,1,,10.0,2016,K02000001,90,male,part-time,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000003,30,female,all,paid-hours-worked-overtime,workplace
32.4,Count,1,,6.9,2016,E06000005,40,female,all,paid-hours-worked-basic,workplace
370.0,GBP,1,,0.2,2016,K03000001,25,all,full-time,basic-pay-including-other-pay,workplace
350.0,GBP,1,,3.5,2016,E06000002,25,all,full-time,weekly-pay-excluding-overtime,workplace
43.1,Count,1,,0.5,2016,K04000001,90,male,full-time,paid-hours-worked-basic,workplace
1.4,Count,1,,2.1,2016,K04000001,30,female,all,paid-hours-worked-overtime,workplace
38.9,Count,1,,1.6,2016,E12000001,90,female,all,paid-hours-worked-basic,workplace
444.4,GBP,1,,5.5,2016,E06000001,mean,all,all,weekly-pay-gross,workplace
37.5,Count,1,,0.0,2016,K02000001,40,male,full-time,paid-hours-worked-basic,workplace
341.1,GBP,1,,7.5,2016,E06000001,mean,female,all,basic-pay-including-other-pay,workplace
,Count,1,x,x,2016,E06000005,10,male,part-time,paid-hours-worked-overtime,workplace
0.7,Count,1,,2.9,2016,K03000001,10,all,full-time,paid-hours-worked-overtime,workplace
40.0,Count,1,,0.0,2016,K03000001,80,all,full-time,paid-hours-worked-basic,workplace
394.4,GBP,1,,0.2,2016,K03000001,30,all,full-time,basic-pay-including-other-pay,workplace
472.0,GBP,1,,4.7,2016,E06000004,median,all,full-time,weekly-pay-excluding-overtime,workplace
37.5,Count,1,,0.7,2016,E06000003,30,male,full-time,paid-hours-worked-basic,workplace
4.8,Count,1,,2.5,2016,E92000001,70,female,all,paid-hours-worked-overtime,workplace
35.0,Count,1,,3.3,2016,E06000004,60,female,all,paid-hours-worked-basic,workplace
226.1,GBP,1,,11.0,2016,E06000001,25,all,all,weekly-pay-gross,workplace
24.0,Count,1,,0.3,2016,E92000001,75,male,part-time,paid-hours-worked-basic,workplace
342.2,GBP,1,,16.0,2016,E06000001,60,female,all,basic-pay-including-other-pay,workplace
0.9,Count,1,,2.2,2016,K03000001,20,female,part-time,paid-hours-worked-overtime,workplace
7.8,Count,1,,1.7,2016,K03000001,75,all,full-time,paid-hours-worked-overtime,workplace
37.5,Count,1,,0.0,2016,E12000001,median,all,full-time,paid-hours-worked-basic,workplace
86.7,GBP,1,,0.7,2016,E92000001,20,all,part-time,basic-pay-including-other-pay,workplace
396.5,GBP,1,,1.6,2016,K04000001,90,all,part-time,weekly-pay-excluding-overtime,workplace
,Count,1,x,x,2016,E06000001,75,male,part-time,paid-hours-worked-basic,workplace
,Count,1,x,26.0,2016,E06000005,mean,female,all,paid-hours-worked-overtime,workplace
28.0,Count,1,,0.5,2016,K03000001,90,all,part-time,paid-hours-worked-basic,workplace
460.0,GBP,1,,0.2,2016,K03000001,40,male,all,weekly-pay-gross,workplace
